"","Section.Bac","M","FE","FO","A","HHTP","C","Gpe","UE","HBin","CBin"
"1","SSVT",13,7,12,12,1,6,"CHBI","STA",0,1
"2","SSVT",12,10,15,14,1,4,"CHBI","STA",0,0
"3","SSVT",14,9,6,15,1,4,"CHBI","STA",0,0
"4","SSVT",18,18,16,20,1,3,"CHBI","STA",0,0
"5","SPC",14,9,7,11,1.5,5,"CHBI","STA",0,1
"6","SSVT",4,18,16,18,0,0,"CHBI","STA",0,0
"7","STE",17,16,16,14,1.5,6.5,"CHBI","STA",0,1
"8","SSVT",18.25,18.5,18.5,18.5,1,6,"CHBI","STA",0,1
"9","SM",13,2,14,14,2,6.5,"INF","STA",1,1
"10","SP",16.5,16,16,15,3,5.75,"INF","STA",1,1
"11","SPC",14.5,18.5,18.5,16,2,4,"INF","STA",1,0
"12","SSVT",13,18,18,14,2,1.25,"INF","STA",1,0
"13","SSVT",13.5,16,16,18.5,3,2.5,"INF","STA",1,0
"14","S",14,12,12,18,4,4,"INF","STA",1,0
"15","STI2D",11,10,7,12,1,5,"INF","STA",0,1
"16","SSVT",12,7,13,12,1,6,"INF","STA",0,1
"17","S",14.5,10,10,12,2,5,"CHBI","STA",1,1
"18","SSVT",7,14,14,14,1,3,"CHBI","STA",0,0
"19","SSVT",9,7,8,12,1,0,"CHBI","STA",0,0
"20","SSVT",13,12,8,14,1,0,"CHBI","STA",0,0
"21","SSVT",14,10,11,12,1,2,"CHBI","STA",0,0
"22","SSVT",14,10,14,18,3,1,"CHBI","STA",1,0
"23","SM",16.5,4,10,16,2,2,"CHBI","STA",1,0
"24","SSVT",13,6,10,13,2,1,"CHBI","STA",1,0
"25","SSVT",18,15,10,16,2,2,"CHBI","STA",1,0
"26","SSVT",12,8,16,16,2,3,"CHBI","STA",1,0
"27","SSVT",13,10,14,10,0.5,2,"CHBI","STA",0,0
"28","SSVT",12,7,17,12,0,4,"CHBI","STA",0,0
"29","STI",13,12,13,10,0.5,2,"CHBI","STA",0,0
"30","SSVT",14,10,8,13,1,5,"CHBI","STA",0,1
"31","SSVT",16,8,9,14,1,3,"CHBI","STA",0,0
"32","SSVT",7,9,13,12,0.5,2,"CHBI","STA",0,0
"33","SSVT",14,8,8,17,2,7,"CHBI","STA",1,1
"34","SSVT",17,11,7,8,0,5,"CHBI","STA",0,1
"35","SSVT",13,14,14,16,0.75,2,"CHBI","STA",0,0
"36","SM",12,6,12,8,1,2,"CHBI","STA",0,0
"37","SPC",10,12,14,13,1.5,1,"CHBI","STA",0,0
"38","SPC",12,10,14,7,1,2,"CHBI","STA",0,0
"39","SSVT",13,6,11,11,1,1,"CHBI","STA",0,0
"40","SSVT",12,6,10,7,1,1,"CHBI","STA",0,0
"41","SM",15,7,7,9,3,6,"CHBI","STA",1,1
"42","SM",14,11,11,15,2,6,"CHBI","STA",1,1
"43","S",4,11,11,18,4,4,"CHBI","STA",1,0
"44","SM",11,17,17,18,5,5,"CHBI","STA",1,1
"45","SSVT",16,10,12,14,2,3,"CHBI","STA",1,0
"46","SPC",14,10,14,12,0.5,4,"CHBI","STA",0,0
"47","SMP",20,12,12,16,6,9,"PCM","MAT",1,1
"48","SMP",18,9,9,13,5,8,"PCM","MAT",1,1
"49","SMP",19,11,11,14,7,8,"PCM","MAT",1,1
"50","SMP",10,13,14,15,3,5,"PCM","MAT",1,1
"51","SMP",15.75,13,13.5,15,8,8,"PCM","MAT",1,1
"52","SMP",18.75,13,13,11,10,9,"PCM","MAT",1,1
"53","SMP",13,15,9,15,3,7,"PCM","MAT",1,1
"54","SMP",14,11,12,16,5,7,"PCM","MAT",1,1
"55","SMP",19,17,17,20,3,7,"PCM","MAT",1,1
"56","SMP",13,17,12,13,1,7,"PCM","MAT",0,1
"57","SMP",18.25,16,14,16.5,2,8,"PCM","MAT",1,1
"58","SMP",17,16,16,18,2,8,"PCM","MAT",1,1
"59","SMP",16,14,18,14,1,9,"PCM","MAT",0,1
"60","SMP",13,11,7,16,2,5,"PCM","MAT",1,1
"61","SMP",18,17,16,8,1.5,3.5,"PCM","MAT",0,0
"62","SMP",13,13,15,13,0,2,"PCM","MAT",0,0
"63","SMP",13,5,5,9,1.5,1,"PCM","MAT",0,0
"64","SMP",15.5,10,10,12,3,3,"PCM","MAT",1,0
"65","SMP",17,11,9,8,8,4,"PCM","MAT",1,0
"66","SMP",18,10,14,11,1,8,"PCM","MAT",0,1
"67","SMP",13,8,12,8,1.5,4,"PCM","MAT",0,0
"68","SMP",16,8,13,14,6,9,"PCM","MAT",1,1
"69","SMP",12,10,10,12,2,5,"PCM","MAT",1,1
