carat cut color clarity depth table price x y z
0.52 Ideal E IF 61.1 57 3033 5.17 5.21 3.17
0.72 Premium H IF 58.7 59 3048 5.94 5.88 3.47
0.66 VeryGood G IF 60.5 59 3051 5.69 5.74 3.46
0.65 Ideal H IF 61.5 55 3065 5.6 5.62 3.45
0.71 VeryGood H IF 63 57 3112 5.63 5.7 3.57
0.68 VeryGood G IF 62.7 56 3143 5.56 5.6 3.5
0.71 Ideal H IF 61.2 56 3146 5.74 5.79 3.53
0.7 Ideal H IF 62.2 55 3167 5.68 5.71 3.54
0.72 Premium G IF 60.1 58 3185 5.89 5.86 3.53
0.71 Ideal H IF 62 54 3190 5.71 5.75 3.55
0.71 Fair F IF 58.7 62 3205 5.87 5.81 3.43
0.82 Premium I IF 61.2 60 3224 6.03 5.99 3.68
0.71 Ideal H IF 62.2 57 3234 5.7 5.74 3.56
0.72 Ideal H IF 61.4 56 3257 5.76 5.8 3.55
0.67 Ideal G IF 61.6 55 3271 5.61 5.65 3.47
0.72 Ideal H IF 62.1 58 3283 5.72 5.75 3.56
0.71 Ideal H IF 61.1 56 3290 5.74 5.78 3.52
0.71 Ideal H IF 61.6 55 3290 5.75 5.78 3.55
0.73 Ideal H IF 62.2 54 3301 5.76 5.82 3.6
0.76 Good G IF 64.6 61 3304 5.72 5.8 3.72
0.7 Ideal H IF 61.3 59 3309 5.69 5.72 3.5
0.62 Ideal G IF 61.8 56 3310 5.45 5.48 3.38
0.61 VeryGood E IF 61.7 58 3337 5.39 5.47 3.35
0.71 Premium H IF 62.9 60 3349 5.74 5.67 3.59
0.71 Ideal H IF 63 57 3354 5.68 5.72 3.59
0.8 Ideal I IF 62.4 58 3357 5.9 5.96 3.7
0.63 Ideal G IF 61.9 56 3363 5.5 5.52 3.41
0.76 VeryGood H IF 62.6 57 3367 5.8 5.83 3.64
0.5 Good D IF 63.2 59 3378 4.99 5.04 3.17
0.5 VeryGood D IF 62.9 59 3378 4.99 5.09 3.17
0.73 Ideal H IF 61.6 55 3378 5.8 5.82 3.58
0.62 Ideal G IF 60.3 57 3378 5.54 5.61 3.35
0.71 Premium H IF 60.2 61 3384 5.8 5.76 3.48
0.71 Good F IF 62.1 62 3393 5.68 5.79 3.56
0.7 Premium E IF 62.9 59 3403 5.66 5.59 3.4
0.72 VeryGood G IF 63.3 54 3405 5.64 5.73 3.6
0.73 Ideal H IF 61.4 59 3429 5.77 5.83 3.56
0.71 "Very Good" H IF 60.2 61 3444 5.76 5.8 3.48
0.51 Ideal D IF 62 56 3446 5.14 5.18 3.2
0.51 Ideal D IF 62.1 55 3446 5.12 5.13 3.19
0.7 Premium G IF 60 59 3447 5.75 5.79 3.46
0.55 Good D IF 58 62 3509 5.31 5.41 3.12
0.53 Ideal D IF 61.5 54 3517 5.27 5.21 3.22
0.65 Ideal G IF 60.1 57 3536 5.61 5.65 3.38
0.7 VeryGood G IF 58.5 60 3543 5.83 5.87 3.42
0.71 Premium G IF 61.9 58 3545 5.74 5.77 3.56
0.71 Premium F IF 61.1 58 3578 5.8 5.72 3.52
0.71 Good G IF 57.8 62 3583 5.82 5.95 3.4
0.7 Premium G IF 62.2 58 3591 5.63 5.69 3.52
0.72 VeryGood G IF 60.7 56 3614 5.78 5.81 3.52
0.7 VeryGood E IF 63.4 58 3622 5.64 5.59 3.56
0.71 Premium G IF 62 58 3642 5.67 5.72 3.53
0.9 Good I IF 63.7 64 3669 6.07 6.02 3.85
0.7 Ideal G IF 60.2 57 3672 5.78 5.84 3.5
0.9 Ideal J IF 62.2 57 3677 6.17 6.14 3.83
0.7 VeryGood G IF 63 59 3725 5.58 5.62 3.53
0.9 Good I IF 63.7 64 3734 6.02 6.07 3.85
0.71 Ideal G IF 60.9 57 3739 5.74 5.79 3.51
0.63 Ideal F IF 60.9 57 3749 5.53 5.57 3.38
0.74 Ideal H IF 60.9 57 3760 5.83 5.85 3.56
0.71 Ideal G IF 61.8 57 3772 5.7 5.75 3.54
0.8 Ideal H IF 61.1 56 3774 6.02 5.96 3.66
0.73 Ideal H IF 62.3 55 3785 5.77 5.79 3.6
0.53 Ideal D IF 62.2 55 3812 5.17 5.19 3.22
0.53 VeryGood D IF 59.8 60 3827 5.22 5.28 3.14
0.63 Ideal D IF 61.2 53 3832 5.55 5.6 3.41
0.73 Ideal F IF 61.2 55 3880 5.86 5.8 3.57
0.7 VeryGood F IF 61.5 58 3887 5.65 5.7 3.49
0.7 Ideal G IF 61.3 56 3949 5.72 5.73 3.51
0.72 Premium E IF 61.3 60 3951 5.74 5.71 3.51
0.8 Ideal H IF 62.4 54 3972 5.93 5.99 3.72
0.71 Ideal H IF 61.2 56 4007 5.76 5.86 3.54
0.56 VeryGood D IF 62.5 59 4025 5.26 5.3 3.3
0.57 VeryGood D IF 61.3 57 4032 5.33 5.41 3.29
0.79 Ideal H IF 61.3 56 4046 5.96 5.98 3.66
0.81 Ideal H IF 61.6 58 4111 5.98 6.01 3.69
0.73 Ideal G IF 62.3 56 4142 5.72 5.78 3.58
0.76 Premium F IF 60.6 60 4150 5.89 5.85 3.56
0.59 Ideal D IF 60.7 58 4161 5.45 5.49 3.32
0.65 Ideal E IF 62.3 56 4184 5.52 5.56 3.45
0.8 Premium G IF 62.6 58 4193 5.93 5.89 3.7
0.59 Ideal D IF 60.9 57 4208 5.4 5.43 3.3
0.56 Ideal D IF 62.4 56 4216 5.24 5.28 3.28
0.76 Premium F IF 60.6 60 4223 5.85 5.89 3.56
0.72 Ideal F IF 62 57 4228 5.71 5.78 3.56
0.8 Premium G IF 62.6 58 4268 5.89 5.93 3.7
0.56 Ideal D IF 61.9 57 4293 5.28 5.31 3.28
0.74 Ideal F IF 61.9 55 4383 5.79 5.84 3.6
0.56 VeryGood D IF 60.7 56 4440 5.34 5.36 3.25
0.9 Premium I IF 62.6 59 4516 6.15 6.12 3.84
0.9 VeryGood I IF 62.6 59 4596 6.12 6.15 3.84
0.76 Ideal F IF 59.6 58 4596 5.95 5.96 3.55
0.56 Ideal D IF 60.8 58 4632 5.35 5.31 3.24
0.7 VeryGood E IF 60.3 59 4679 5.72 5.76 3.46
0.81 Ideal G IF 62.4 54 4751 5.93 5.99 3.72
0.76 VeryGood E IF 61.9 56 4798 5.83 5.85 3.62
0.63 VeryGood D IF 59.6 59 4800 5.55 5.59 3.32
0.82 VeryGood G IF 61.9 57 4844 5.96 6 3.7
0.59 Ideal D IF 60.9 60 4916 5.41 5.39 3.29
0.7 Premium D IF 60 59 5027 5.75 5.81 3.47
1.11 Good J IF 58.3 62 5361 6.77 6.84 3.97
1.16 Ideal J IF 60.6 56 5519 6.79 6.86 4.14
0.9 VeryGood G IF 63.1 58 5670 6.18 6.09 3.87
0.9 VeryGood G IF 60.1 59 5754 6.22 6.26 3.75
0.92 Ideal H IF 62.5 55 5758 6.25 6.3 3.92
0.9 Good G IF 63.1 58 5771 6.09 6.18 3.87
0.9 Good G IF 61.8 61 5855 6.12 6.17 3.8
0.93 Ideal G IF 62.2 58 5879 6.25 6.22 3.88
1.21 Good J IF 62.1 60 6299 6.81 6.87 4.25
0.81 Ideal F IF 61.5 55 6338 5.98 6.05 3.7
0.63 Ideal D IF 62.5 55 6549 5.47 5.5 3.43
0.63 Ideal D IF 62.5 55 6607 5.5 5.47 3.43
0.8 Ideal F IF 60.8 56 6674 5.99 6.05 3.66
1.04 VeryGood H IF 62 55 6694 6.51 6.55 4.05
1.01 Premium H IF 62.1 59 6702 6.47 6.41 4
1.05 Good H IF 64.3 58 6703 6.5 6.35 4.13
0.9 Good E IF 63.6 56 6804 6.11 6.02 3.86
0.8 VeryGood D IF 63.3 57 6834 5.85 5.87 3.71
1.18 VeryGood I IF 63.3 58 6867 6.69 6.73 4.25
0.95 Ideal G IF 59.8 59 6951 6.36 6.43 3.82
1.2 VeryGood I IF 59.1 61 7141 6.91 6.99 4.11
1.19 Ideal I IF 61.7 56 7207 6.78 6.81 4.19
1.01 Premium G IF 61.3 58 7220 6.4 6.48 3.95
1 Premium H IF 60.6 57 7235 6.54 6.47 3.94
1.05 Ideal H IF 61.2 55 7329 6.62 6.59 4.04
1.01 Premium G IF 61.3 58 7352 6.48 6.4 3.95
1.2 Ideal I IF 61.5 56 7367 6.79 6.84 4.19
1.3 Premium I IF 61.8 58 7621 6.95 7 4.31
1.17 VeryGood H IF 59.3 59 7644 6.92 6.98 4.12
1 VeryGood G IF 62.2 61 7682 6.38 6.41 3.98
0.9 VeryGood E IF 63.9 55 7747 6.05 6.09 3.88
1.3 Premium I IF 61.8 58 7760 7 6.95 4.31
1.21 Ideal H IF 61 57 7789 6.79 6.89 4.17
1 Premium G IF 62.2 61 7822 6.41 6.38 3.98
1 Premium G IF 61.4 59 7822 6.47 6.39 3.95
0.83 VeryGood D IF 59.7 53 7889 6.14 6.23 3.69
1.01 VeryGood G IF 60 61 7974 6.41 6.45 3.86
1.01 VeryGood G IF 63 60 7974 6.31 6.35 3.99
1 VeryGood G IF 58.3 62 8002 6.51 6.57 3.81
1.01 Premium G IF 60 61 8120 6.45 6.41 3.86
1.01 Premium G IF 63 60 8120 6.35 6.31 3.99
1.02 Ideal G IF 62.5 57 8162 6.37 6.44 4
1.04 VeryGood G IF 61.7 58 8225 6.47 6.6 4.03
1.17 Ideal H IF 61 53 8266 6.89 6.85 4.19
1.21 Premium H IF 62.2 58 8294 6.8 6.83 4.24
1.02 Ideal G IF 62.5 57 8311 6.44 6.37 4
1.06 VeryGood G IF 61.2 57 8415 6.52 6.56 4
