"longseq","regne","repliement","isoelec","poidsmol","hydro","genre"
200,"Viridiplantae","-0.0835869","6.1399999","20295.8008","-1.0180905","Oryza"
153,"Viridiplantae","-0.1659534","9.3100004","15909.3203","-1.2745098","Pseudotsuga"
132,"Viridiplantae","-0.2853720","9.4399996","14103.7598","-1.5803030","Pinus"
143,"Viridiplantae","-0.1855139","8.6999998","15209.6104","-1.3573427","Pinus"
144,"Viridiplantae","-0.2060405","9.3100004","15422.8604","-1.4013889","Pinus"
143,"Viridiplantae","-0.1803197","8.6999998","15237.6699","-1.3405594","Pinus"
143,"Viridiplantae","-0.2015961","9.3100004","15294.7100","-1.3867133","Pinus"
143,"Viridiplantae","-0.1885442","8.6999998","15257.6504","-1.3671329","Pinus"
177,"Viridiplantae","-0.2382716","7.0500002","18800.1602","-1.5322034","Pinus"
177,"Viridiplantae","-0.2302297","7.0500002","18842.2402","-1.5062147","Pinus"
176,"Viridiplantae","-0.2395908","7.0500002","18713.0703","-1.5363636","Pinus"
177,"Viridiplantae","-0.2426426","7.0500002","18830.1895","-1.5463277","Pinus"
176,"Viridiplantae","-0.2413488","7.0500002","18747.0898","-1.5420455","Pinus"
187,"Viridiplantae","-0.2540900","6.6500001","19892.4004","-1.5497326","Pinus"
180,"Metazoa","-0.1549752","6.4400001","20667.8809","-1.2633333","Polypedilum"
484,"Metazoa","0.1176118","5.3299999","54509.9609","-0.3402893","Polypedilum"
224,"Viridiplantae","-0.1218107","9.3599997","23212.4297","-1.1308036","Triticum"
211,"Viridiplantae","-0.1373009","9.3800001","21853.7891","-1.1781991","Triticum"
211,"Viridiplantae","0.0116455","6.3899999","22080.3906","-0.7274882","Triticum"
105,"Viridiplantae","-0.4239426","7.7800002","11864.5498","-2.1504762","Capsicum"
97,"Viridiplantae","0.0534226","10.4099998","10387.0303","-0.4412371","Solanum"
168,"Viridiplantae","-0.0809405","10.0500002","17139.3906","-0.9458333","Glycine"
170,"Viridiplantae","-0.0946205","10.0100002","17360.5996","-0.9911765","Glycine"
165,"Viridiplantae","-0.0826745","10.0100002","16848.9199","-0.9496970","Glycine"
165,"Viridiplantae","-0.0751702","10.0100002","16737.7500","-0.9254545","Glycine"
168,"Viridiplantae","-0.0895398","9.8900003","17169.3809","-0.9928571","Glycine"
168,"Viridiplantae","-0.0879970","10.1800003","17137.4199","-0.9494048","Glycine"
165,"Viridiplantae","-0.0890497","10.0100002","16771.7891","-0.9703030","Glycine"
168,"Viridiplantae","-0.0818606","10.0900002","17075.2305","-0.9488095","Glycine"
83,"Viridiplantae","-0.2809380","6.3800001","9183.1396","-1.6493976","Picea"
97,"Viridiplantae","0.1288999","10.1000004","10572.4199","-0.2639175","Citrus"
133,"Viridiplantae","-0.1002034","9.3000002","14609.3096","-1.0556391","Glycine"
133,"Viridiplantae","-0.1057155","8.6899996","14711.4004","-1.0977443","Glycine"
133,"Viridiplantae","-0.1332444","9.3199997","14667.3096","-1.1624060","Glycine"
133,"Viridiplantae","-0.1347863","9.8000002","14682.4102","-1.1187969","Glycine"
133,"Viridiplantae","-0.1406034","9.8000002","14712.4404","-1.1375940","Glycine"
133,"Viridiplantae","-0.1247065","9.5699997","14794.5303","-1.1105263","Glycine"
133,"Viridiplantae","-0.1347137","9.6000004","14740.4404","-1.1428571","Glycine"
133,"Viridiplantae","-0.1286642","9.6000004","14724.4404","-1.1233083","Glycine"
133,"Viridiplantae","-0.1164053","9.8000002","14668.4199","-1.0593985","Glycine"
133,"Viridiplantae","-0.1286642","9.6000004","14724.4404","-1.1233083","Glycine"
133,"Viridiplantae","-0.1502162","9.9200001","14695.4404","-1.1443609","Glycine"
133,"Viridiplantae","-0.1281246","9.3000002","14729.4102","-1.1458647","Glycine"
133,"Viridiplantae","-0.1332423","9.3000002","14715.3896","-1.1624060","Glycine"
133,"Viridiplantae","-0.1340869","9.8000002","14638.3604","-1.1165414","Glycine"
133,"Viridiplantae","-0.1344813","9.6000004","14754.4697","-1.1421053","Glycine"
133,"Viridiplantae","-0.1161003","9.6000004","14740.4805","-1.0827068","Glycine"
131,"Viridiplantae","-0.1305356","9.6000004","14571.2002","-1.1282443","Glycine"
131,"Viridiplantae","-0.1312435","9.6000004","14557.1797","-1.1305344","Glycine"
131,"Viridiplantae","-0.1357923","10.1300001","14512.3398","-1.0465649","Glycine"
131,"Viridiplantae","-0.1225059","9.6000004","14630.3398","-1.1022902","Glycine"
131,"Viridiplantae","-0.1180158","9.6000004","14526.1299","-1.0877863","Glycine"
128,"Viridiplantae","-0.1493189","9.9499998","14265.9102","-1.1367188","Glycine"
