pclass;survived;gender;age
1;yes;F;29
1;yes;M;0.9167
1;no;F;2
1;no;M;30
1;no;F;25
1;yes;M;48
1;yes;F;63
1;no;M;39
1;yes;F;53
1;no;M;71
1;no;M;47
1;yes;F;18
1;yes;F;24
1;yes;F;26
1;yes;M;80
1;no;M;24
1;yes;F;50
1;yes;F;32
1;no;M;36
1;yes;M;37
1;yes;F;47
1;yes;M;26
1;yes;F;42
1;yes;F;29
1;no;M;25
1;yes;M;25
1;yes;F;19
1;yes;F;35
1;yes;M;28
1;no;M;45
1;yes;M;40
1;yes;F;30
1;yes;F;58
1;no;M;42
1;yes;F;45
1;yes;F;22
1;no;M;41
1;no;M;48
1;yes;F;44
1;yes;F;59
1;yes;F;60
1;yes;F;41
1;no;M;45
1;yes;M;42
1;yes;F;53
1;yes;M;36
1;yes;F;58
1;no;M;33
1;no;M;28
1;no;M;17
1;yes;M;11
1;yes;F;14
1;yes;M;36
1;yes;F;36
1;no;M;49
1;no;M;36
1;yes;F;76
1;no;M;46
1;yes;F;47
1;yes;M;27
1;yes;F;33
1;yes;F;36
1;yes;F;30
1;yes;M;45
1;no;M;27
1;yes;F;26
1;yes;F;22
1;no;M;47
1;yes;F;39
1;no;M;37
1;yes;F;64
1;yes;F;55
1;no;M;70
1;yes;F;36
1;yes;F;64
1;no;M;39
1;yes;F;38
1;yes;M;51
1;yes;M;27
1;yes;F;33
1;no;M;31
1;yes;F;27
1;yes;M;31
1;yes;F;17
1;yes;M;53
1;yes;M;4
1;yes;F;54
1;no;M;50
1;yes;F;27
1;yes;F;48
1;yes;F;48
1;yes;M;49
1;no;M;39
1;yes;F;23
1;yes;F;38
1;yes;F;54
1;no;F;36
1;yes;M;36
1;no;M;30
1;yes;F;24
1;yes;F;28
1;yes;F;23
1;no;M;19
1;no;M;64
1;yes;F;60
1;yes;F;30
1;yes;M;50
1;yes;M;43
1;yes;F;22
1;yes;M;60
1;yes;F;48
1;no;M;37
1;yes;F;35
1;no;M;47
1;yes;F;35
1;yes;F;22
1;yes;F;45
1;no;M;24
1;yes;M;49
1;no;M;71
1;yes;M;53
1;yes;F;19
1;no;M;38
1;yes;F;58
1;yes;M;23
1;yes;F;45
1;no;M;46
1;yes;M;25
1;yes;F;25
1;yes;M;48
1;yes;F;49
1;no;M;45
1;yes;F;35
1;no;M;40
1;yes;M;27
1;yes;F;24
1;no;M;55
1;yes;F;52
1;no;M;42
1;no;M;55
1;yes;F;16
1;yes;F;44
1;yes;F;51
1;no;M;42
1;yes;F;35
1;yes;M;35
1;yes;M;38
1;yes;F;35
1;yes;F;38
1;no;F;50
1;yes;M;49
1;no;M;46
1;no;M;50
1;no;M;32.5
1;no;M;58
1;no;M;41
1;yes;M;42
1;yes;F;45
1;yes;F;39
1;yes;F;49
1;yes;F;30
1;yes;M;35
1;no;M;42
1;yes;F;55
1;yes;F;16
1;yes;F;51
1;no;M;29
1;yes;F;21
1;no;M;30
1;yes;F;58
1;yes;F;15
1;no;M;30
1;yes;F;16
1;no;M;19
1;yes;F;18
1;yes;F;24
1;no;M;46
1;no;M;54
1;yes;M;36
1;no;M;28
1;no;M;65
1;no;M;44
1;yes;F;33
1;yes;F;37
1;yes;M;30
1;no;M;55
1;no;M;47
1;no;M;37
1;yes;F;31
1;yes;F;23
1;no;M;58
1;yes;F;19
1;no;M;64
1;yes;F;39
1;yes;F;22
1;no;M;65
1;no;M;28.5
1;no;M;45.5
1;no;M;23
1;no;M;29
1;yes;F;22
1;no;M;18
1;yes;F;17
1;yes;F;30
1;yes;M;52
1;no;M;47
1;yes;F;56
1;no;M;38
1;no;M;22
1;yes;F;43
1;no;M;31
1;yes;M;45
1;yes;F;33
1;no;M;46
1;no;M;36
1;yes;F;33
1;no;M;55
1;yes;F;54
1;no;M;33
1;yes;M;13
1;yes;F;18
1;yes;F;21
1;no;M;61
1;yes;F;48
1;yes;F;24
1;yes;F;35
1;yes;F;30
1;yes;M;34
1;yes;F;40
1;yes;M;35
1;no;M;50
1;yes;F;39
1;yes;M;56
1;yes;M;28
1;no;M;56
1;no;M;56
1;no;M;24
1;yes;F;18
1;yes;M;24
1;yes;F;23
1;yes;M;6
1;yes;M;45
1;yes;F;40
1;no;M;57
1;yes;M;32
1;no;M;62
1;yes;M;54
1;yes;F;43
1;yes;F;52
1;yes;F;62
1;no;M;67
1;no;F;63
1;no;M;61
1;yes;F;48
1;yes;F;18
1;no;M;52
1;yes;F;39
1;yes;M;48
1;no;M;49
1;yes;M;17
1;yes;F;39
1;yes;M;31
1;no;M;40
1;no;M;61
1;no;M;47
1;yes;F;35
1;no;M;64
1;yes;F;60
1;no;M;60
1;no;M;54
1;no;M;21
1;yes;F;55
1;yes;F;31
1;no;M;57
1;yes;F;45
1;no;M;50
1;no;M;27
1;yes;F;50
1;yes;F;21
1;no;M;51
1;yes;M;21
1;yes;F;31
1;no;M;62
1;yes;F;36
2;no;M;30
2;yes;F;28
2;no;M;30
2;no;M;18
2;no;M;25
2;no;M;34
2;yes;F;36
2;no;M;57
2;no;M;18
2;no;M;23
2;yes;F;36
2;no;M;28
2;no;M;51
2;yes;M;32
2;yes;F;19
2;no;M;28
2;yes;M;1
2;yes;F;4
2;yes;F;12
2;yes;F;36
2;yes;M;34
2;yes;F;19
2;no;M;23
2;no;M;26
2;no;M;42
2;no;M;27
2;yes;F;24
2;yes;F;15
2;no;M;60
2;yes;F;40
2;yes;F;20
2;no;M;25
2;yes;F;36
2;no;M;25
2;no;M;42
2;yes;F;42
2;yes;M;0.8333
2;yes;M;26
2;yes;F;22
2;yes;F;35
2;no;M;19
2;no;F;44
2;no;M;54
2;no;M;52
2;no;M;37
2;no;F;29
2;yes;F;25
2;yes;F;45
2;no;M;29
2;yes;F;28
2;no;M;29
2;no;M;28
2;yes;M;24
2;yes;F;8
2;no;M;31
2;yes;F;31
2;yes;F;22
2;no;F;30
2;no;M;21
2;yes;M;8
2;no;M;18
2;yes;F;48
2;yes;F;28
2;no;M;32
2;no;M;17
2;no;M;29
2;yes;F;24
2;no;M;25
2;no;M;18
2;yes;F;18
2;yes;F;34
2;no;M;54
2;yes;M;8
2;no;M;42
2;yes;F;34
2;yes;F;27
2;yes;F;30
2;no;M;23
2;no;M;21
2;no;M;18
2;no;M;40
2;yes;F;29
2;no;M;18
2;no;M;36
2;no;F;38
2;no;M;35
2;no;M;38
2;no;M;34
2;yes;F;34
2;no;M;16
2;no;M;26
2;no;M;47
2;no;M;21
2;no;M;21
2;no;M;24
2;no;M;24
2;no;M;34
2;no;M;30
2;no;M;52
2;no;M;30
2;yes;M;0.6667
2;yes;F;24
2;no;M;44
2;yes;F;6
2;no;M;28
2;yes;M;62
2;no;M;30
2;yes;F;7
2;no;M;43
2;yes;F;45
2;yes;F;24
2;yes;F;24
2;no;M;49
2;yes;F;48
2;yes;F;55
2;no;M;24
2;no;M;32
2;no;M;21
2;no;F;18
2;yes;F;20
2;no;M;23
2;no;M;36
2;yes;F;54
2;no;M;50
2;no;M;44
2;yes;F;29
2;no;M;21
2;yes;M;42
2;no;M;63
2;no;F;60
2;no;M;33
2;yes;F;17
2;no;M;42
2;yes;F;24
2;no;M;47
2;no;M;24
2;no;M;22
2;no;M;32
2;yes;F;23
2;no;M;34
2;yes;F;24
2;no;F;22
2;no;M;35
2;yes;F;45
2;no;M;57
2;no;M;31
2;no;F;26
2;no;M;30
2;yes;F;1
2;yes;F;3
2;no;M;25
2;yes;F;22
2;yes;F;17
2;yes;F;34
2;no;M;36
2;no;M;24
2;no;M;61
2;no;M;50
2;yes;F;42
2;no;F;57
2;yes;M;1
2;no;M;31
2;yes;F;24
2;no;M;30
2;no;M;40
2;no;M;32
2;no;M;30
2;no;M;46
2;yes;F;13
2;yes;F;41
2;yes;M;19
2;no;M;39
2;no;M;48
