"age","metallicity","velocity","Rgal","zgal","ecc"
9.65,-0.25,77.44,7.948,-0.037,0.25
2.15,-0.29,29.069,7.959,0.006,0.1
2.32,-0.05,48.083,8.003,0.005,0.12
5.97,-0.14,20.421,7.972,-0.026,0.08
2.02,0.1,29.138,7.943,0.082,0.09
8.25,0.13,22.091,8.033,-0.01,0.08
4.49,-0.11,65.077,7.984,0.06,0.19
2.29,-0.32,21,8.015,0.064,0.07
4.42,-0.26,56.116,8.01,-0.012,0.13
4.63,-0.24,82.207,7.982,-0.014,0.24
5.32,-0.04,84.226,7.932,0.051,0.23
4.73,-0.08,40.509,8.009,-0.043,0.14
2.53,0.03,7.483,8.021,0.041,0.06
2.01,0.07,48.27,8.03,-0.051,0.03
2.19,-0.18,19.209,7.991,-0.057,0.03
3.23,-0.21,39.256,8.025,-0.043,0.16
1.97,0.03,12.689,8.007,-0.083,0.07
3.14,-0.47,34.147,7.927,-0.146,0.13
2.36,-0.18,31.273,8.035,0.056,0.12
7.64,-0.15,31.544,8.037,-0.021,0.07
1.5,0.08,31.906,7.969,-0.056,0.08
3.51,-0.12,24.536,7.993,-0.06,0.1
1.12,0.04,35.285,8.017,-0.056,0.13
6.32,-0.03,30.15,7.931,0.039,0.07
2.08,0.18,15.843,8.073,0.034,0.05
1.62,-0.12,47.749,8.022,0.007,0.11
0.93,0.47,29.479,7.952,-0.126,0.05
1.72,-0.12,16.553,7.981,-0.005,0.06
2.89,0.02,17.146,7.97,-0.08,0.07
3.32,-0.25,49.558,8.068,0.018,0.1
2.18,0.06,45.486,7.989,0.14,0.1
1.23,-0.07,32.512,7.998,-0.015,0.09
3.58,-0.17,12.207,7.985,-0.021,0.07
1.23,-0.09,15.937,8.009,0,0.08
3.01,0.25,57.219,7.959,-0.036,0.19
1.09,0.06,36.359,7.963,0.038,0.08
1.74,0.29,22.293,8.036,-0.094,0.03
2.61,0.11,20.248,8.003,0.067,0.06
1.51,-0.3,25.318,7.941,-0.039,0.04
10.3,0,42.273,7.957,0.005,0.13
1.67,0.22,50.339,7.967,0.036,0.14
1.1,0.04,32.016,7.977,0.04,0.09
2.75,0.32,33.675,7.986,0.016,0.06
1.98,0.25,52.44,8.008,0,0.14
3.52,0.18,16.971,7.949,0.034,0.02
2.66,0,32.156,8.039,-0.033,0.08
1.9,0.31,32.818,8.079,-0.012,0.11
3.5,0.12,45.299,7.888,-0.015,0.16
5.38,-0.18,40.497,8.057,-0.021,0.1
2,0.14,32.696,8.01,0.017,0.09
3,-0.12,45.727,7.972,-0.031,0.16
2.08,-0.15,34.366,8.039,0.035,0.07
4.18,-0.38,20.64,7.975,-0.072,0.09
